y,x,group_id,region_id
4.3910923,0.32408398,0,0
5.5813837,-0.38508227,0,0
4.891355,-0.676922,0,0
4.398131,0.6116763,0,0
3.478085,1.0309995,0,0
3.4425898,0.93128014,0,0
5.4866395,-0.83921754,0,0
4.513294,-0.3092124,0,0
4.138709,0.33126342,0,0
3.1975565,0.9755451,0,0
6.176581,-0.47917423,0,0
4.929835,-0.18565898,0,0
5.4469438,-1.1063349,0,0
5.9901466,-1.1962066,0,0
3.8969636,0.8125258,0,0
3.3202317,1.35624,0,0
5.1100903,-0.07201012,0,0
4.1483583,1.0035329,0,0
4.121101,0.361636,0,0
5.0657525,-0.6451197,0,0
3.8189902,0.3613956,1,0
1.2978275,1.5380366,1,0
3.7079136,-0.03582604,1,0
3.0981314,1.5646436,1,0
8.598983,-2.619745,1,0
3.2419121,0.8219025,1,0
4.59634,0.08704707,1,0
4.95837,-0.29900736,1,0
5.841462,0.09176078,1,0
7.526227,-1.9875689,1,0
4.6371274,-0.21967189,1,0
3.484234,0.35711256,1,0
1.7226305,1.4778941,1,0
5.1854367,-0.5182702,1,0
5.077417,-0.8084936,1,0
4.3514185,-0.501757,1,0
2.923335,0.9154021,1,0
3.4575722,0.32875112,1,0
5.941999,-0.5297602,1,0
4.2027297,0.51326746,1,0
5.27578,0.09707755,2,0
5.2434387,0.968645,2,0
6.0302315,-0.70205307,2,0
5.2274375,-0.32766214,2,0
6.477043,-0.39210814,2,0
6.939232,-1.4635149,2,0
4.583857,0.2961203,2,0
5.038543,0.26105526,2,0
4.923869,0.005113457,2,0
4.8837786,-0.23458713,2,0
7.089984,-1.4153707,2,0
6.6956077,-0.42064533,2,0
4.972203,-0.34271452,2,0
6.3623013,-0.80227727,2,0
5.184568,-0.16128571,2,0
4.7627845,0.40405086,2,0
3.3900213,1.8861859,2,0
4.778742,0.17457782,2,0
5.161095,0.2575504,2,0
5.0170665,-0.07444592,2,0
6.6123514,-1.9187713,3,0
4.98314,-0.026513875,3,0
4.8214498,0.06023021,3,0
2.6218047,2.463242,3,0
