phylo,x,y
sp_1,5.05903566064296,12.2280650328243
sp_2,6.18854754822102,11.4756735353934
sp_3,5.11827033635759,9.77653919482301
sp_4,5.82679778947409,3.44978346539658
sp_5,2.80445565085916,1.98708551309673
sp_6,6.42235051454088,2.62191974323505
sp_7,6.43777745970829,6.39869417895787
sp_8,5.50330213805794,6.44353510543045
sp_9,7.71454887230355,7.05626083120184
sp_10,5.80893694255721,5.45554740358473
sp_11,5.52872853967588,6.61901355596667
sp_12,5.53608780828739,1.86118947657802
sp_13,5.87386115407897,0.916285994246679
sp_14,7.12024781097473,1.53202025703759
sp_15,5.90438079305743,3.66379570860479
sp_16,6.32639723137413,4.73307820174047
sp_17,2.72725289201833,3.51825440353318
sp_18,4.25900496581577,3.32900437314673
sp_19,7.95393917958494,11.328273767524
sp_20,2.55219249897249,7.52324854650155
sp_21,5.51613677479221,8.12478358975916
sp_22,5.81000561086703,7.92781220733501
sp_23,6.9516066436189,9.71498011649201
sp_24,4.30224652692018,6.41073308672855
sp_25,5.31725087898252,7.70518506657324
sp_26,1.47348986691769,3.52700769360688
sp_27,5.67719209419981,6.05920218159643
sp_28,3.66686994088145,7.12932156629837
sp_29,4.52270675134471,11.6343505619621
sp_30,2.62446943508561,5.4220365256922
sp_31,5.76987064353716,5.13981361011467
sp_32,6.33315903130896,7.35763269455728
sp_33,4.39077222108453,11.3514463273369
sp_34,8.65002212817259,18.7915523830045
sp_35,6.34111874113518,15.8248285247072
sp_36,6.89726514651031,15.1404005043642
sp_37,9.09880600334182,23.1292315415706
sp_38,3.69777278152493,8.22421284847456
sp_39,6.61723854569259,18.881195619896
sp_40,6.97316122790913,20.2649243061386
sp_41,4.9876584078186,14.6079308059335
sp_42,5.63810471586382,14.3758798058954
sp_43,2.97635619451631,5.38570692055253
sp_44,5.94033509545278,10.1422296598625
sp_45,3.59805933674181,7.07786025491026
sp_46,6.62736572505298,13.0437060189395
sp_47,3.37713843201446,8.72356599231295
sp_48,5.63879497419892,11.380479619748
sp_49,3.30695469367275,8.49762215997927
sp_50,4.50847364174254,10.9982116039682
